FID,station,st_num,lot_id,station_name,line_id,mode,permitrequired_1,permit_only_spaces_1,permit_only_vehicles_1,permit_only_space_utilization_1,parking_space_non_hp_1,used_spaces_non_hp_1,hp_parking_spaces_1,used_hp_parking_spaces_1,total_spaces_1,total_used_spaces_1,total_utilization_all_parking_1,publicparkingnohp_spaces_1,publicparkingnohp_vehicles_1,publicparkingnohp_utilization_1,cars_not_in_marked_spaces_1,lot_ownership_1,parking_fee_1,data_year
ctps_pnr_lots_polygons.231,Worcester,145,272,Worcester,Framingham/Worcester,Commuter Rail ,No,0,0,N/A,500,312,9,9,509,321,0.63064833,500,312,0.624,0,MBTA,4.5,2017-2018
ctps_pnr_lots_polygons.232,Mansfield,128,275,Mansfield,Providence/Stoughton,Commuter Rail ,No,0,0,N/A,204,204,0,0,204,204,1,204,204,1,0,MBTA,4,2017-2018
ctps_pnr_lots_polygons.233,Mansfield,128,276,Mansfield,Providence/Stoughton,Commuter Rail ,No,0,0,N/A,63,62,0,0,63,62,0.98412698,63,62,0.98412698,0,MBTA,4,2017-2018
ctps_pnr_lots_polygons.234,Mansfield,128,277,Mansfield,Providence/Stoughton,Commuter Rail ,Yes,350,266,76%,350,266,0,0,350,266,0.76,0,0,0,4,Private,10,2017-2018
ctps_pnr_lots_polygons.235,Mansfield,128,278,Mansfield,Providence/Stoughton,Commuter Rail ,No,0,0,N/A,210,209,0,0,210,209,0.9952381,210,209,0.9952381,0,Town,4,2017-2018
ctps_pnr_lots_polygons.236,Mansfield,128,279,Mansfield,Providence/Stoughton,Commuter Rail ,No,0,0,N/A,190,188,0,0,190,188,0.98947368,190,188,0.98947368,0,Private,7,2017-2018
ctps_pnr_lots_polygons.237,Mansfield,128,280,Mansfield,Providence/Stoughton,Commuter Rail ,No,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,MBTA,4,2017-2018
ctps_pnr_lots_polygons.238,Mansfield,128,281,Mansfield,Providence/Stoughton,Commuter Rail ,Yes,73,72,99%,73,72,2,1,75,73,0.97333333,0,0,0,0,Town,0,2017-2018
ctps_pnr_lots_polygons.239,Hull,308,283,Hull,"Pemberton Point, Hull to Long Wharf, Boston",Ferry,Yes,41,40,98%,41,40,0,0,41,40,0.97560976,0,0,0,0,Town,0,2017-2018
ctps_pnr_lots_polygons.260,Framingham,25,311,Framingham,Framingham/Worcester,Commuter Rail ,Yes,289,42,15%,289,42,5,0,294,42,0.14285714,0,0,0,0,Town,65,2017-2018
ctps_pnr_lots_polygons.240,North Billerica,82,284,North Billerica,Lowell,Commuter Rail ,No,0,0,N/A,563,520,12,2,575,522,0.90782609,563,520,0.92362345,0,MBTA,4,2017-2018
ctps_pnr_lots_polygons.241,Lowell,81,285,Lowell,Lowell,Commuter Rail ,No,0,0,N/A,866,597,19,4,885,601,0.67909605,866,597,0.68937644,0,MBTA,7,2017-2018
ctps_pnr_lots_polygons.242,Wonderland,5,291,Wonderland,Blue Line,Rapid Transit,No,0,0,N/A,1417,1240,19,9,1436,1249,0.86977716,1417,1240,0.87508822,0,Private,5,2017-2018
ctps_pnr_lots_polygons.243,Suffolk Downs ,4,292,Suffolk Downs,Blue Line,Rapid Transit,No,0,0,N/A,104,94,4,1,108,95,0.87962963,104,94,0.90384615,0,MBTA,5,2017-2018
ctps_pnr_lots_polygons.244,Norwood Central ,42,293,Norwood Central,Franklin,Commuter Rail ,No,0,0,N/A,24,18,0,0,24,18,0.75,24,18,0.75,0,Private,0,2017-2018
