"season","route_id","parent_station","avg_boardings_wkdy","avg_boardings_wknd","avg_alightings_wkdy","avg_alightings_wknd","avg_boardings","avg_alightings"
"Fall 2023","Orange","place-sbmnl",2360.09259259259,1439.4347826087,2678.61111111111,1696.78260869565,2085.09090909091,2385.33766233766
"Fall 2023","Orange","place-state",9413.68518518518,5333.82608695652,10138.7037037037,5749.60869565217,8195.02597402597,8827.67532467533
"Fall 2023","Orange","place-sull",4886.94444444444,2970.95652173913,4202.42592592593,2723.73913043478,4314.63636363636,3760.74025974026
"Fall 2023","Orange","place-tumnl",4482.98148148148,2203.17391304348,5017.42592592593,2505.21739130435,3802,4267.02597402597
"Fall 2023","Orange","place-welln",3735.83333333333,2038.4347826087,3415.24074074074,1938.82608695652,3228.81818181818,2974.23376623377
"Fall 2023","Red","place-alfcl",4914.3125,2556.5,5576.8125,2862.72222222222,4271.27272727273,4836.60606060606
"Fall 2023","Red","place-andrw",4250.79166666667,1996.88888888889,3427,1829.88888888889,3636.09090909091,2991.42424242424
"Fall 2023","Red","place-asmnl",5005.27083333333,2059.9375,3666.75,1556.625,4268.9375,3139.21875
"Fall 2023","Red","place-brdwy",3645.25,1475.55555555556,3388.4375,1659.11111111111,3053.51515151515,2916.80303030303
"Fall 2023","Red","place-brntn",1803.72916666667,794.777777777778,1696.52083333333,644.111111111111,1528.56060606061,1409.5
"Fall 2023","Red","place-chmnl",5610.5,2411.55555555556,6503.08333333333,2516.27777777778,4738.06060606061,5415.77272727273
"Fall 2023","Red","place-cntsq",7392.64583333333,4907.77777777778,7858.0625,5475.66666666667,6714.95454545455,7208.31818181818
"Fall 2023","Red","place-davis",4459.22916666667,2817.61111111111,5168.875,3371.83333333333,4011.51515151515,4678.77272727273
"Fall 2023","Red","place-dwnxg",15396.4583333333,8024.94444444444,15024.1666666667,7816.83333333333,13386.0454545455,13058.5303030303
"Fall 2023","Red","place-fldcr",2790.02083333333,1336,2883,1529.9375,2426.515625,2544.734375
"Fall 2023","Red","place-harsq",10590.0208333333,8341.83333333333,10828.5208333333,8567.5,9976.87878787879,10211.8787878788
"Fall 2023","Red","place-jfk",6210.02083333333,2033.5,6346.02083333333,2290.94444444444,5070.9696969697,5240.09090909091
"Fall 2023","Red","place-knncl",9062.02083333333,3563.55555555556,10200.4583333333,3917.66666666667,7562.43939393939,8486.9696969697
"Fall 2023","Red","place-nqncy",2567.02083333333,1047.16666666667,2858.33333333333,1042.83333333333,2152.51515151515,2363.19696969697
"Fall 2023","Red","place-pktrm",18117.3541666667,13110.6666666667,15186.9166666667,11696.6111111111,16751.8939393939,14235.0151515152
"Fall 2023","Red","place-portr",4116.29166666667,2638.33333333333,4527.54166666667,2967.83333333333,3713.21212121212,4102.16666666667
"Fall 2023","Red","place-qamnl",1447.97916666667,575.944444444444,1552.79166666667,548.055555555556,1210.15151515152,1278.77272727273
"Fall 2023","Red","place-qnctr",3462.70833333333,1531.11111111111,3074.5625,1420.16666666667,2935.90909090909,2623.36363636364
"Fall 2023","Red","place-shmnl",1287.375,570.5,1350.45833333333,631.9375,1108.15625,1170.828125
"Fall 2023","Red","place-smmnl",1341.04166666667,521.4375,1418.8125,589,1136.140625,1211.359375
"Fall 2023","Red","place-sstat",13281.3333333333,7125.38888888889,14203.4583333333,6502.61111111111,11602.4393939394,12103.2272727273
"Fall 2023","Red","place-wlsta",2401.77083333333,1031.16666666667,2381.10416666667,986.388888888889,2027.9696969697,2000.72727272727
